gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a
ENSMUSG00000015461.16	Atf6b	protein_coding	chr17	34866120	34874048	+	449	785	1321	443	882
ENSMUSG00000015467.15	Egfl8	protein_coding	chr17	34832323	34834945	-	0	1	0	2	9
ENSMUSG00000015468.15	Notch4	protein_coding	chr17	34783242	34807477	+	142	287	670	261	849
ENSMUSG00000015474.17	Ppt2	protein_coding	chr17	34835636	34847484	-	94	41	64	40	75
ENSMUSG00000015478.14	Rnf5	protein_coding	chr17	34820065	34822664	-	66	191	149	205	281
ENSMUSG00000015488.15	Cacfd1	protein_coding	chr2	26899938	26911101	+	76	30	48	110	190
ENSMUSG00000015501.11	Hivep2	protein_coding	chr10	13841819	14027118	+	21	9	21	20	115
ENSMUSG00000015522.19	Arnt	protein_coding	chr3	95341699	95404551	+	1043	710	443	1441	2338
ENSMUSG00000015533.10	Itga2	protein_coding	chr13	114969617	115068636	-	4	5	3	1	2
ENSMUSG00000015536.15	Mocs2	protein_coding	chr13	114954772	114968811	+	148	173	130	215	175
ENSMUSG00000015542.18	Nat9	protein_coding	chr11	115073658	115078685	-	56	158	77	284	334
ENSMUSG00000015568.17	Lpl	protein_coding	chr8	69333143	69360100	+	708	681	740	387	508
ENSMUSG00000015575.16	Atp6v0e	protein_coding	chr17	26882205	26918621	+	813	633	912	491	647
ENSMUSG00000015597.18	Zfp318	protein_coding	chr17	46694657	46731846	+	1195	133	113	714	633
ENSMUSG00000015599.10	Ttbk1	protein_coding	chr17	46753374	46798601	-	47	7	2	64	66
ENSMUSG00000015605.7	Srf	protein_coding	chr17	46859255	46867101	-	119	111	101	311	478
ENSMUSG00000015619.11	Gata3	protein_coding	chr2	9861889	9894845	-	4	4	6	10	9
ENSMUSG00000015647.10	Lama5	protein_coding	chr2	179818166	179867652	-	2091	14346	20977	2511	4193
ENSMUSG00000015652.10	Steap1	protein_coding	chr5	5786317	5799326	-	206	105	92	66	36
ENSMUSG00000015653.14	Steap2	protein_coding	chr5	5714829	5744578	-	279	59	77	80	115
ENSMUSG00000015656.18	Hspa8	protein_coding	chr9	40712280	40721383	+	869	5394	3120	4663	8735
ENSMUSG00000015659.13	Serac1	protein_coding	chr17	6092471	6130016	-	158	85	41	272	265
ENSMUSG00000015668.14	Pdzd11	protein_coding	chrX	99666489	99670174	-	145	235	159	144	175
ENSMUSG00000015671.12	Psma2	protein_coding	chr13	14787825	14848821	+	1427	1909	1116	1456	1684
ENSMUSG00000015672.5	Mrpl32	protein_coding	chr13	14782769	14787750	-	405	367	248	322	270
ENSMUSG00000015697.15	Setdb1	protein_coding	chr3	95230836	95264513	-	1233	377	137	1661	2380
ENSMUSG00000015702.14	Anxa9	protein_coding	chr3	95203407	95214487	-	0	0	0	10	5
ENSMUSG00000015709.10	Arnt2	protein_coding	chr7	83895486	84059384	-	48	31	7	73	79
ENSMUSG00000015711.9	Prune1	protein_coding	chr3	95160985	95189387	-	542	586	265	888	1455
ENSMUSG00000015714.12	Cers2	protein_coding	chr3	95222102	95230910	+	504	514	663	363	558
ENSMUSG00000015733.14	Capza2	protein_coding	chr6	17636233	17666971	+	1140	780	409	1247	1178
ENSMUSG00000015745.10	Plekho1	protein_coding	chr3	95895741	95903313	-	12	23	10	55	86
ENSMUSG00000015747.6	Vps45	protein_coding	chr3	95907144	95965778	-	179	126	51	278	246
ENSMUSG00000015748.14	Prpf3	protein_coding	chr3	95737436	95763197	-	643	521	225	1054	1143
ENSMUSG00000015749.13	Anp32e	protein_coding	chr3	95836558	95854702	+	2779	1316	557	3062	2980
ENSMUSG00000015750.16	Aph1a	protein_coding	chr3	95801281	95805600	+	564	416	568	355	526
ENSMUSG00000015755.17	Tab2	protein_coding	chr10	7781417	7831994	-	2115	65	81	979	1138
ENSMUSG00000015757.11	Ppil4	protein_coding	chr10	7668655	7698899	+	537	245	85	404	457
ENSMUSG00000015759.12	Cnih1	protein_coding	chr14	47013024	47025868	-	1730	644	722	694	898
ENSMUSG00000015766.15	Eps8	protein_coding	chr6	137454243	137631874	-	538	205	46	419	463
ENSMUSG00000015776.13	Med22	protein_coding	chr2	26795274	26800689	-	256	277	154	427	585
ENSMUSG00000015787.16	Abo	protein_coding	chr2	26732515	26754991	-	0	1	7	0	3
ENSMUSG00000015790.17	Surf1	protein_coding	chr2	26803393	26806542	-	142	263	216	222	304
ENSMUSG00000015804.15	Med28	protein_coding	chr5	45677571	45686618	+	1604	590	659	513	765
ENSMUSG00000015806.13	Qdpr	protein_coding	chr5	45591363	45607578	-	737	1033	580	1011	1229
ENSMUSG00000015829.14	Tnr	protein_coding	chr1	159351339	159759299	+	10	3	1	2	6
ENSMUSG00000015837.16	Sqstm1	protein_coding	chr11	50090193	50101654	-	1052	1676	1103	3237	6232
ENSMUSG00000015839.7	Nfe2l2	protein_coding	chr2	75505857	75534985	-	650	668	514	809	984
ENSMUSG00000015846.16	Rxra	protein_coding	chr2	27566452	27652969	+	124	85	54	246	245
ENSMUSG00000015850.12	Adamtsl4	protein_coding	chr3	95583511	95595228	-	24	34	46	38	77
ENSMUSG00000015869.17	Prpsap1	protein_coding	chr11	116361671	116385028	-	770	1149	521	1451	1577
ENSMUSG00000015879.9	Fam184b	protein_coding	chr5	45687047	45796956	-	36	16	10	39	48
ENSMUSG00000015880.14	Ncapg	protein_coding	chr5	45827261	45857888	+	1510	549	168	1610	1523
ENSMUSG00000015882.19	Lcorl	protein_coding	chr5	45854523	46014957	-	449	24	17	214	192
ENSMUSG00000015889.9	Lta4h	protein_coding	chr10	93289273	93320737	+	594	1381	835	909	1099
ENSMUSG00000015890.3	Amdhd1	protein_coding	chr10	93359200	93375895	-	10	11	11	6	18
ENSMUSG00000015932.9	Dstn	protein_coding	chr2	143757240	143785244	+	2730	3224	1809	3686	4063
ENSMUSG00000015937.16	Macroh2a1	protein_coding	chr13	56221432	56284174	-	941	531	548	933	1380
ENSMUSG00000015942.10	Gtf2ird2	protein_coding	chr5	134212858	134253209	+	7	16	12	47	59
ENSMUSG00000015943.12	Bola1	protein_coding	chr3	96103904	96127025	-	219	549	422	210	275
ENSMUSG00000015944.10	Castor2	protein_coding	chr5	134128550	134173182	+	105	13	22	52	79
ENSMUSG00000015957.13	Wnt11	protein_coding	chr7	98484319	98504402	+	2	3	8	1	6
ENSMUSG00000015961.9	Adss	protein_coding	chr1	177590528	177624077	-	3431	1445	525	2811	2457
ENSMUSG00000015966.18	Il17rb	protein_coding	chr14	29718092	29730853	-	10	1	4	4	9
ENSMUSG00000015968.19	Cacna1d	protein_coding	chr14	29761896	30213412	-	25	3	4	4	14
ENSMUSG00000015970.20	Chdh	protein_coding	chr14	29730980	29762484	+	0	1	3	1	13
ENSMUSG00000015971.6	Actr8	protein_coding	chr14	29700294	29728311	+	290	291	124	528	801
ENSMUSG00000015980.15	Lrrc27	protein_coding	chr7	138792904	138822895	+	94	48	27	47	46
ENSMUSG00000015981.13	Stk32c	protein_coding	chr7	138683554	138793223	-	4	0	3	8	3
ENSMUSG00000015994.11	Fnta	protein_coding	chr8	26488750	26505678	-	1064	781	462	1155	1320
ENSMUSG00000016018.5	Mtrex	protein_coding	chr13	113003952	113063932	-	2173	733	227	2235	2372
ENSMUSG00000016028.12	Celsr1	protein_coding	chr15	85783130	85918404	-	655	168	340	204	539
ENSMUSG00000016128.15	Stard13	protein_coding	chr5	150960975	151157301	-	16	8	2	34	20
ENSMUSG00000016150.16	Tenm1	protein_coding	chrX	41616743	42518003	-	50	7	1	9	16
ENSMUSG00000016181.10	Utp25	protein_coding	chr1	192773412	192812580	-	306	258	88	626	744
ENSMUSG00000016194.15	Hsd11b1	protein_coding	chr1	192903942	192946383	-	6	0	5	3	4
ENSMUSG00000016200.15	Syt14	protein_coding	chr1	192573541	192718083	-	1192	54	74	369	400
ENSMUSG00000016206.7	H2-M3	protein_coding	chr17	37581111	37585375	+	73	26	28	15	31
ENSMUSG00000016239.12	Lonrf3	protein_coding	chrX	35592006	35625994	+	157	35	25	69	93
ENSMUSG00000016252.8	Atp5e	protein_coding	chr2	174302865	174305898	-	531	3120	3572	1115	1601
ENSMUSG00000016253.13	Nelfcd	protein_coding	chr2	174257597	174269295	+	223	623	263	985	1075
ENSMUSG00000016256.11	Ctsz	protein_coding	chr2	174269286	174280832	-	2037	1059	1068	563	639
ENSMUSG00000016257.16	Prelid3b	protein_coding	chr2	174306860	174314874	-	1247	911	649	1076	1158
ENSMUSG00000016262.15	Sertad4	protein_coding	chr1	192526796	192538064	-	68	10	7	29	49
ENSMUSG00000016308.13	Ube2a	protein_coding	chrX	36137553	36147875	+	704	1531	1215	570	709
ENSMUSG00000016319.4	Slc25a5	protein_coding	chrX	36059304	36062460	+	936	1645	1140	1610	2220
ENSMUSG00000016344.15	Ppdpf	protein_coding	chr2	180829040	180830564	+	120	296	230	409	478
ENSMUSG00000016346.18	Kcnq2	protein_coding	chr2	180717372	180777093	-	101	17	19	90	137
ENSMUSG00000016349.11	Eef1a2	protein_coding	chr2	180789446	180798807	-	13	25	6	6	10
ENSMUSG00000016356.19	Col20a1	protein_coding	chr2	180628328	180660156	+	15	3	0	12	38
ENSMUSG00000016382.16	Pls3	protein_coding	chrX	74829260	74918788	-	980	261	105	420	487
ENSMUSG00000016386.16	Mpped2	protein_coding	chr2	106523614	106698701	+	57	18	32	51	100
ENSMUSG00000016409.5	Nkap	protein_coding	chrX	36390448	36414399	+	524	152	70	290	292
ENSMUSG00000016427.8	Ndufa1	protein_coding	chrX	36451241	36454816	-	356	948	1117	240	413
ENSMUSG00000016458.16	Wt1	protein_coding	chr2	104956874	105003961	+	3	7	0	3	22
ENSMUSG00000016477.19	E2f3	protein_coding	chr13	30090558	30170046	-	580	239	104	650	646
ENSMUSG00000016481.16	Cr1l	protein_coding	chr1	194779690	194813894	-	818	376	445	255	257
ENSMUSG00000016487.16	Ppfibp1	protein_coding	chr6	146789985	146933523	+	1093	181	157	943	1135
ENSMUSG00000016494.10	Cd34	protein_coding	chr1	194621127	194643587	+	59	55	98	17	66
ENSMUSG00000016495.13	Plgrkt	protein_coding	chr19	29325999	29344790	-	68	152	128	91	55
ENSMUSG00000016503.19	Gtf3a	protein_coding	chr5	146885467	146892424	+	57	210	175	162	198
ENSMUSG00000016510.12	Mtif3	protein_coding	chr5	146888383	146900610	-	78	117	93	92	125
ENSMUSG00000016520.8	Lnx2	protein_coding	chr5	146953465	147013396	-	157	156	106	316	370
ENSMUSG00000016526.9	Dyrk3	protein_coding	chr1	131055192	131066077	-	242	1082	605	1111	1805
ENSMUSG00000016528.11	Mapkapk2	protein_coding	chr1	130981437	131025563	-	231	101	96	310	510
ENSMUSG00000016534.16	Lamp2	protein_coding	chrX	37490234	37545331	-	3296	1426	2657	720	832
ENSMUSG00000016541.11	Atxn10	protein_coding	chr15	85220446	85347413	+	1942	2572	1245	3971	4603
ENSMUSG00000016552.14	Foxred2	protein_coding	chr15	77824722	77840922	-	337	230	301	168	287
ENSMUSG00000016554.10	Eif3d	protein_coding	chr15	77843198	77855013	-	1464	1250	440	2661	3111
ENSMUSG00000016559.15	H3f3b	protein_coding	chr11	115912738	115918788	-	7375	1716	1206	4003	4123
ENSMUSG00000016619.11	Nup50	protein_coding	chr15	84807612	84827164	+	1669	597	337	1692	2017
ENSMUSG00000016624.16	Phf21b	protein_coding	chr15	84669582	84740250	-	9	8	5	51	91
ENSMUSG00000016626.11	Nlrp14	protein_coding	chr7	106766197	106797309	+	11	9	6	29	18
ENSMUSG00000016637.8	Ift27	protein_coding	chr15	78043663	78058307	-	69	153	107	139	160
ENSMUSG00000016664.17	Pacsin2	protein_coding	chr15	83259808	83348807	-	928	546	163	1337	1455
ENSMUSG00000016756.18	Cmah	protein_coding	chr13	24511387	24661360	+	584	23	9	1932	1492
ENSMUSG00000016757.12	Ttll12	protein_coding	chr15	83459291	83479358	-	386	450	243	686	1112
ENSMUSG00000016758.5	Bik	protein_coding	chr15	83411063	83428835	+	18	33	70	18	44
ENSMUSG00000016763.16	Scube1	protein_coding	chr15	83489200	83609222	-	9	18	19	16	7
ENSMUSG00000016831.13	Tox4	protein_coding	chr14	52516603	52533858	+	514	695	481	706	960
ENSMUSG00000016833.15	Mrps18c	protein_coding	chr5	100946493	100952337	+	197	209	161	117	79
ENSMUSG00000016918.16	Sulf1	protein_coding	chr1	12762501	12931416	+	2554	1936	1883	905	923
ENSMUSG00000016921.15	Srsf6	protein_coding	chr2	162773448	162779041	+	1749	2322	956	4323	5629
ENSMUSG00000016933.18	Plcg1	protein_coding	chr2	160573220	160617680	+	527	161	89	1090	1521
ENSMUSG00000016940.19	Kctd2	protein_coding	chr11	115310954	115322100	+	225	62	53	423	401
ENSMUSG00000016942.7	Tmprss6	protein_coding	chr15	78323867	78352834	-	3	3	1	12	3
ENSMUSG00000016946.7	Kctd5	protein_coding	chr17	24266708	24292459	-	548	434	262	730	825
ENSMUSG00000016984.8	Etaa1	protein_coding	chr11	17888756	17903875	-	1030	331	219	1041	1204
ENSMUSG00000017009.4	Sdc4	protein_coding	chr2	164266167	164285807	-	543	717	1248	307	551
ENSMUSG00000017057.10	Il13ra1	protein_coding	chrX	35375763	35434912	+	197	73	96	29	58
ENSMUSG00000017119.21	Nbr1	protein_coding	chr11	101442975	101472777	+	2750	1228	742	3141	4423
ENSMUSG00000017132.18	Cyth1	protein_coding	chr11	118022845	118139418	-	50	31	18	62	100
ENSMUSG00000017144.9	Rnd3	protein_coding	chr2	51020450	51039123	-	159	81	82	243	350
ENSMUSG00000017146.13	Brca1	protein_coding	chr11	101379590	101442781	-	5191	834	492	2406	2895
ENSMUSG00000017167.7	Cntnap1	protein_coding	chr11	101061349	101081550	+	0	3	2	4	11
ENSMUSG00000017176.18	Nt5c3b	protein_coding	chr11	100313147	100332634	-	170	475	226	413	521
ENSMUSG00000017188.4	Coa3	protein_coding	chr11	101168794	101169940	-	295	594	711	293	521
ENSMUSG00000017204.5	Gsdma	protein_coding	chr11	98555177	98568534	+	0	6	1	2	3
ENSMUSG00000017210.15	Med24	protein_coding	chr11	98595417	98620261	-	509	1398	1297	1243	2321
ENSMUSG00000017221.15	Psmd3	protein_coding	chr11	98573380	98586805	+	1481	2697	1770	3913	5547
ENSMUSG00000017264.17	Exosc10	protein_coding	chr4	148642886	148666858	+	323	579	238	1142	1693
ENSMUSG00000017286.16	Glod4	protein_coding	chr11	76011813	76134551	-	497	692	347	747	804
ENSMUSG00000017288.16	Vps53	protein_coding	chr11	75937052	76070473	-	405	412	212	610	1098
ENSMUSG00000017291.14	Taok1	protein_coding	chr11	77419988	77498641	-	16731	300	186	2270	2634
ENSMUSG00000017299.14	Dnttip1	protein_coding	chr2	164587903	164610527	+	124	132	124	207	299
ENSMUSG00000017307.17	Acot8	protein_coding	chr2	164634685	164646802	-	64	163	122	182	243
ENSMUSG00000017314.13	Mpp2	protein_coding	chr11	101947841	101979341	-	36	41	21	88	118
ENSMUSG00000017376.16	Nlk	protein_coding	chr11	78457994	78588199	-	1094	143	153	728	946
ENSMUSG00000017386.11	Traf4	protein_coding	chr11	78049325	78056415	-	441	429	314	979	1291
ENSMUSG00000017390.16	Aldoc	protein_coding	chr11	78213794	78218607	+	153	409	136	626	762
ENSMUSG00000017400.11	Stac2	protein_coding	chr11	97927449	97944288	-	341	133	72	567	881
ENSMUSG00000017404.13	Rpl19	protein_coding	chr11	97917536	97921318	+	1303	599	632	1481	2065
ENSMUSG00000017405.15	Nek8	protein_coding	chr11	78056932	78067501	-	35	50	36	176	257
ENSMUSG00000017417.15	Plxdc1	protein_coding	chr11	97814064	97877270	-	161	239	688	129	396
ENSMUSG00000017418.15	Arl5b	protein_coding	chr2	15054206	15087267	+	1592	154	207	616	807
ENSMUSG00000017421.19	Zfp207	protein_coding	chr11	80274105	80296559	+	3582	2184	743	2766	2904
ENSMUSG00000017428.17	Psmd11	protein_coding	chr11	80319441	80364074	+	1800	1729	718	2196	2744
ENSMUSG00000017446.15	C1qtnf1	protein_coding	chr11	118319029	118340789	+	25	6	5	9	1
ENSMUSG00000017453.5	Pipox	protein_coding	chr11	77771441	77784922	-	466	607	437	907	1537
ENSMUSG00000017466.10	Timp2	protein_coding	chr11	118191895	118246566	-	86	41	54	30	57
ENSMUSG00000017478.16	Zc3h18	protein_coding	chr8	123103348	123144099	+	551	529	297	1351	2048
ENSMUSG00000017485.12	Top2b	protein_coding	chr14	6034301	6104584	-	1098	103	72	712	999
ENSMUSG00000017493.13	Igfbp4	protein_coding	chr11	98932070	98945218	+	77	136	160	143	228
ENSMUSG00000017499.16	Cdc6	protein_coding	chr11	98798627	98814766	+	810	603	205	1444	1272
ENSMUSG00000017548.16	Suz12	protein_coding	chr11	79883932	79924949	+	11003	1084	689	6451	6802
ENSMUSG00000017550.15	Atad5	protein_coding	chr11	79980226	80026620	+	4028	196	176	1482	1417
ENSMUSG00000017561.17	Crlf3	protein_coding	chr11	79937319	79971817	-	1501	737	433	1406	1570
ENSMUSG00000017607.10	Tns4	protein_coding	chr11	98956504	98980132	-	5	4	1	6	5
ENSMUSG00000017615.13	Tnfaip1	protein_coding	chr11	78413676	78427158	-	731	343	200	698	980
ENSMUSG00000017631.20	Abr	protein_coding	chr11	76307560	76514384	-	756	516	237	1606	2313
ENSMUSG00000017639.14	Rab11fip4	protein_coding	chr11	79482038	79588849	+	1595	256	139	1011	1029
ENSMUSG00000017652.17	Cd40	protein_coding	chr2	164897547	164914868	+	59	14	32	26	40
ENSMUSG00000017664.17	Slc35c2	protein_coding	chr2	165118474	165129789	-	294	191	232	232	368
ENSMUSG00000017667.10	Zfp334	protein_coding	chr2	165216184	165230179	-	170	109	61	122	124
ENSMUSG00000017670.17	Elmo2	protein_coding	chr2	165129951	165168399	-	169	358	232	497	751
ENSMUSG00000017677.12	Wsb1	protein_coding	chr11	79130198	79145497	-	1354	429	313	1512	1954
ENSMUSG00000017679.17	Ttpal	protein_coding	chr2	163444234	163460933	+	107	57	31	133	170
ENSMUSG00000017686.18	Rhot1	protein_coding	chr11	80099845	80158733	+	881	508	293	1224	1370
ENSMUSG00000017692.9	Rhbdl3	protein_coding	chr11	80191738	80246781	+	1	4	2	20	3
ENSMUSG00000017697.4	Ada	protein_coding	chr2	163568504	163592159	-	81	204	68	292	284
ENSMUSG00000017707.10	Serinc3	protein_coding	chr2	163465192	163487051	-	2735	1104	1400	685	819
ENSMUSG00000017713.10	Tha1	protein_coding	chr11	117758778	117764307	-	15	8	3	30	28
ENSMUSG00000017715.12	Pgs1	protein_coding	chr11	117877118	117914837	+	548	337	225	1299	1548
ENSMUSG00000017716.16	Birc5	protein_coding	chr11	117740077	117746569	+	1705	1642	1290	1951	2240
ENSMUSG00000017718.16	Afmid	protein_coding	chr11	117716750	117730734	+	4	7	12	15	39
ENSMUSG00000017721.16	Pigt	protein_coding	chr2	164339440	164350221	+	1115	980	1254	734	1050
ENSMUSG00000017723.12	Wfdc2	protein_coding	chr2	164404333	164410430	+	375	880	1900	405	786
ENSMUSG00000017724.15	Etv4	protein_coding	chr11	101660568	101676197	-	294	559	213	770	667
ENSMUSG00000017737.3	Mmp9	protein_coding	chr2	164782700	164797770	+	0	4	4	10	5
ENSMUSG00000017740.18	Slc12a5	protein_coding	chr2	164802722	164841651	+	10	24	20	34	33
ENSMUSG00000017747.14	Ghdc	protein_coding	chr11	100656858	100661783	-	106	194	231	149	266
ENSMUSG00000017754.14	Pltp	protein_coding	chr2	164681438	164699631	-	163	2867	3543	955	1283
ENSMUSG00000017756.10	Slc12a7	protein_coding	chr13	73881213	73964873	+	2669	2537	5021	1269	2348
ENSMUSG00000017760.17	Ctsa	protein_coding	chr2	164674793	164682952	+	596	1993	2894	1131	1674
ENSMUSG00000017764.3	Zswim1	protein_coding	chr2	164664606	164668791	+	170	500	307	531	896
ENSMUSG00000017765.18	Slc12a4	protein_coding	chr8	106670222	106692729	-	204	570	439	322	285
ENSMUSG00000017767.4	Spata25	protein_coding	chr2	164668309	164670457	-	0	0	0	6	6
ENSMUSG00000017774.20	Myo1c	protein_coding	chr11	75541330	75564736	+	765	605	376	1519	2995
ENSMUSG00000017776.16	Crk	protein_coding	chr11	75570085	75597734	+	2288	437	331	2097	2212
ENSMUSG00000017778.15	Cox7c	protein_coding	chr13	86192935	86195023	-	572	2632	2270	1248	2219
ENSMUSG00000017781.18	Pitpna	protein_coding	chr11	75478923	75519630	+	1124	723	378	1194	1311
ENSMUSG00000017801.16	Mlx	protein_coding	chr11	100978103	100983033	+	291	661	500	461	619
ENSMUSG00000017802.15	Retreg3	protein_coding	chr11	100987148	101010719	-	2359	714	663	772	835
ENSMUSG00000017817.12	Jph2	protein_coding	chr2	163178162	163239913	-	3	2	2	7	0
ENSMUSG00000017830.16	Dhx58	protein_coding	chr11	100585710	100595097	-	21	6	4	15	18
ENSMUSG00000017831.9	Rab5a	protein_coding	chr17	53786262	53814708	+	982	465	249	942	985
ENSMUSG00000017832.3	Hspb9	protein_coding	chr11	100604676	100605401	+	0	3	1	3	3
ENSMUSG00000017837.13	Nkiras2	protein_coding	chr11	100510070	100518433	+	371	175	170	360	384
ENSMUSG00000017843.15	Ppp2r5c	protein_coding	chr12	110413554	110549496	+	1480	646	604	1560	2540
ENSMUSG00000017858.13	Ift52	protein_coding	chr2	162859274	162888061	+	454	188	140	559	546
ENSMUSG00000017861.12	Mybl2	protein_coding	chr2	162896607	162926608	+	4511	3226	2700	7032	12690
ENSMUSG00000017868.17	Sgk2	protein_coding	chr2	162829250	162856047	+	44	71	49	107	111
ENSMUSG00000017929.14	B4galt5	protein_coding	chr2	167140364	167191103	-	926	396	613	447	730
ENSMUSG00000017943.16	Gdap1l1	protein_coding	chr2	163280396	163297244	+	2	4	3	7	20
ENSMUSG00000017950.17	Hnf4a	protein_coding	chr2	163348728	163414830	+	22	6	4	7	26
ENSMUSG00000017969.14	Ptgis	protein_coding	chr2	167033725	167082524	-	71	155	85	136	134
ENSMUSG00000017978.19	Cadps2	protein_coding	chr6	23262772	23839420	-	13	38	32	0	5
ENSMUSG00000017999.17	Ddx27	protein_coding	chr2	166857113	166876867	+	1339	1384	457	1898	1901
ENSMUSG00000018001.19	Cyth3	protein_coding	chr5	143608202	143696005	+	169	61	21	217	158
ENSMUSG00000018008.9	Cyth4	protein_coding	chr15	78481247	78506219	+	11	2	3	9	13
ENSMUSG00000018012.12	Rac3	protein_coding	chr11	120612296	120614795	+	121	108	74	167	153
ENSMUSG00000018040.10	Rrp7a	protein_coding	chr15	82997634	83007002	-	202	299	160	591	857
ENSMUSG00000018042.19	Cyb5r3	protein_coding	chr15	83037695	83056793	-	1563	3291	3899	1451	2285
ENSMUSG00000018068.14	Ints2	protein_coding	chr11	86101507	86148401	-	3022	493	350	1971	2325
ENSMUSG00000018076.13	Med13l	protein_coding	chr5	118698744	118903503	+	1952	290	257	1777	2717
ENSMUSG00000018102.6	H2bc4	protein_coding	chr13	23868182	23876891	+	336	5951	4314	83	103
ENSMUSG00000018126.16	Baiap2l2	protein_coding	chr15	79142395	79169737	-	7	5	3	7	5
ENSMUSG00000018143.11	Mafk	protein_coding	chr5	139777268	139788408	+	48	37	11	123	88
ENSMUSG00000018160.16	Med1	protein_coding	chr11	98042980	98084119	-	2476	795	608	1487	2059
ENSMUSG00000018166.9	Erbb3	protein_coding	chr10	128403392	128425521	-	790	709	1408	401	858
ENSMUSG00000018167.11	Stard3	protein_coding	chr11	98249194	98271938	+	252	200	192	246	348
ENSMUSG00000018169.13	Mfng	protein_coding	chr15	78640082	78657675	-	37	36	23	65	87
ENSMUSG00000018171.10	Vmp1	protein_coding	chr11	86474691	86574662	-	3314	1116	1064	661	553
ENSMUSG00000018189.13	Uchl5	protein_coding	chr1	143653010	143683204	+	1472	971	368	1130	867
ENSMUSG00000018196.19	Glrx2	protein_coding	chr1	143592076	143625414	+	398	249	255	315	378
ENSMUSG00000018199.10	Ro60	protein_coding	chr1	143626528	143652806	-	2489	165	90	737	722
ENSMUSG00000018209.16	Stk4	protein_coding	chr2	163912242	163997444	+	1415	508	249	1794	1786
ENSMUSG00000018217.13	Pmp22	protein_coding	chr11	63019808	63050373	+	47	10	18	12	11
ENSMUSG00000018238.7	Gdf9	protein_coding	chr11	53321850	53328731	+	4	1	2	7	9
ENSMUSG00000018239.10	Zcchc10	protein_coding	chr11	53215506	53224128	+	603	615	438	624	919
ENSMUSG00000018286.7	Psmb6	protein_coding	chr11	70416193	70418684	+	2649	3607	2806	3620	4770
ENSMUSG00000018287.13	Spag7	protein_coding	chr11	70554597	70560242	-	381	1466	1178	752	1206
ENSMUSG00000018293.5	Pfn1	protein_coding	chr11	70542676	70545470	-	1851	8128	7273	3484	6624
ENSMUSG00000018322.11	Tomm34	protein_coding	chr2	163895460	163913089	-	286	909	324	624	898
ENSMUSG00000018326.10	Ywhab	protein_coding	chr2	163836880	163860508	+	2784	1826	888	2450	2835
ENSMUSG00000018334.19	Ksr1	protein_coding	chr11	78904266	79037233	-	75	89	78	255	533
ENSMUSG00000018339.13	Gpx3	protein_coding	chr11	54793279	54801203	+	81	84	87	90	153
ENSMUSG00000018340.14	Anxa6	protein_coding	chr11	54869934	54924271	-	1096	1038	298	1548	2776
ENSMUSG00000018347.17	Zkscan6	protein_coding	chr11	65698001	65720065	+	89	133	72	143	250
ENSMUSG00000018362.15	Kpna2	protein_coding	chr11	106879455	106890367	-	49	15	3	63	65
ENSMUSG00000018363.17	Smurf2	protein_coding	chr11	106710892	106811541	-	1123	117	76	793	1002
ENSMUSG00000018372.14	Cep95	protein_coding	chr11	106680078	106710756	+	338	70	53	254	339
ENSMUSG00000018377.11	Vezf1	protein_coding	chr11	87959105	87975555	+	611	155	103	409	502
ENSMUSG00000018378.14	Cuedc1	protein_coding	chr11	87988884	88084966	+	32	19	21	43	82
ENSMUSG00000018379.18	Srsf1	protein_coding	chr11	87938199	87944581	+	7717	3377	1568	6286	6855
ENSMUSG00000018381.16	Abi3	protein_coding	chr11	95720900	95733302	-	8	18	14	9	19
ENSMUSG00000018387.13	Shroom1	protein_coding	chr11	53348032	53358593	+	26	11	3	15	15
ENSMUSG00000018395.20	Kif3a	protein_coding	chr11	53458206	53492794	+	186	187	71	465	467
ENSMUSG00000018398.19	Septin8	protein_coding	chr11	53410084	53440392	+	323	129	94	355	582
ENSMUSG00000018401.18	Mtmr4	protein_coding	chr11	87482988	87507128	+	551	597	296	898	1595
ENSMUSG00000018405.8	Mrm1	protein_coding	chr11	84703887	84710341	-	109	125	114	343	381
ENSMUSG00000018411.18	Mapt	protein_coding	chr11	104122216	104222916	+	168	159	132	260	758
ENSMUSG00000018412.17	Kansl1	protein_coding	chr11	104224055	104359687	-	704	313	230	1135	2002
ENSMUSG00000018415.15	Gid4	protein_coding	chr11	60307971	60341753	+	1597	173	122	1095	1110
ENSMUSG00000018417.15	Myo1b	protein_coding	chr1	51788924	51955230	-	1767	430	213	1553	1862
ENSMUSG00000018425.19	Dhx40	protein_coding	chr11	86659672	86698572	-	1389	853	375	1903	2342
ENSMUSG00000018427.9	Ypel2	protein_coding	chr11	86827251	86884533	-	242	52	58	201	296
ENSMUSG00000018428.16	Akap1	protein_coding	chr11	88721618	88755412	-	5052	3725	5118	2415	4212
ENSMUSG00000018433.15	Nol11	protein_coding	chr11	107057489	107080207	-	1315	2011	963	1916	2178
ENSMUSG00000018442.14	Derl2	protein_coding	chr11	70897990	70910667	-	1004	382	552	470	652
ENSMUSG00000018446.9	C1qbp	protein_coding	chr11	70868662	70873852	-	6607	6722	4319	4895	5982
ENSMUSG00000018449.13	Rpain	protein_coding	chr11	70861039	70868659	+	141	205	186	259	428
