gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a	clip_enrichment_log2	te_change_log2	group
ENSMUSG00000020216.14	Jsrp1	protein_coding	chr10	80644330	80649332	-	10	2	2	3	11	0.6818240399737453	-1.5849625007211563	Q4_clip_high_te_down
ENSMUSG00000020218.12	Wif1	protein_coding	chr10	120869865	120936555	+	4	10	2	15	4	-0.84799690655495	-0.1963972128035035	other
ENSMUSG00000020219.8	Timm13	protein_coding	chr10	80735284	80736803	-	289	1365	1306	962	1388	-1.7973708334849818	-0.5921372386325906	Q3_clip_low_te_down
ENSMUSG00000020220.17	Vps13d	protein_coding	chr4	144699192	144921575	-	971	575	613	1048	1667	-0.26059392527974595	-0.5769347669395289	other
ENSMUSG00000020224.16	Llph	protein_coding	chr10	120062975	120068487	+	230	194	125	281	358	-0.2500390838662356	-0.9783390716739522	other
ENSMUSG00000020225.11	Tmbim4	protein_coding	chr10	120037495	120060822	+	646	464	658	220	337	1.4333098504857655	-0.10992912787809477	other
ENSMUSG00000020226.10	Slc5a4b	protein_coding	chr10	75893328	75946795	-	133	62	30	82	32	1.4305006166666485	0.30756169887543006	Q1_clip_high_te_up
ENSMUSG00000020227.11	Irak3	protein_coding	chr10	119977553	120038035	-	103	157	85	220	281	-1.051582450327987	-1.2291647864823672	Q3_clip_low_te_down
ENSMUSG00000020228.12	Helb	protein_coding	chr10	119919513	119948892	-	569	630	255	1568	2078	-1.4556794837761895	-1.7075406008728211	Q3_clip_low_te_down
ENSMUSG00000020229.5	Slc5a4a	protein_coding	chr10	75983285	76025099	+	2	1	0	12	0	-1.0	2.700439718141092	Q2_clip_low_te_up
ENSMUSG00000020230.16	Prmt2	protein_coding	chr10	76043056	76073699	-	114	97	56	182	169	-0.39564190099035723	-0.6755109278041261	other
ENSMUSG00000020231.16	Dip2a	protein_coding	chr10	76095263	76181125	-	110	49	37	334	397	-1.500861100447258	-0.6445360115296532	Q3_clip_low_te_down
ENSMUSG00000020232.18	Hmg20b	protein_coding	chr10	81181882	81186314	-	233	302	217	376	662	-0.929610672108602	-1.289434005539948	Q3_clip_low_te_down
ENSMUSG00000020234.11	4930404N11Rik	protein_coding	chr10	81198901	81201650	-	26	0	0	2	22	1.2768402053588244	-2.9385994553358565	Q4_clip_high_te_down
ENSMUSG00000020235.17	Fzr1	protein_coding	chr10	81202056	81214350	-	198	801	406	1343	2628	-3.096996036208002	-1.946554446027959	Q3_clip_low_te_down
ENSMUSG00000020238.15	Ncln	protein_coding	chr10	81322083	81332226	-	911	1195	1434	806	1364	-0.029525952303171864	-0.49542702516448917	other
ENSMUSG00000020241.14	Col6a2	protein_coding	chr10	76431596	76459464	-	29	48	32	18	8	1.3219280948873624	0.5076867872445183	Q1_clip_high_te_up
ENSMUSG00000020246.14	Hcfc2	protein_coding	chr10	82531994	82578262	+	103	35	20	65	134	0.27178044829861153	-1.8100290563559294	other
ENSMUSG00000020248.19	Nfyb	protein_coding	chr10	82584535	82599978	-	1010	541	383	839	871	0.4624927168383158	-0.5511253477435191	other
ENSMUSG00000020250.12	Txnrd1	protein_coding	chr10	82669785	82733546	+	1660	1324	586	3447	4215	-0.9836530664373561	-1.4646750437759881	Q3_clip_low_te_down
ENSMUSG00000020251.14	Glt8d2	protein_coding	chr10	82486267	82526484	-	8	0	2	8	7	0.30485458152842093	1.7548875021634684	other
ENSMUSG00000020253.16	Ppm1m	protein_coding	chr9	106072146	106076945	-	239	78	85	358	424	-0.4854268271702417	-0.12099499067701777	other
ENSMUSG00000020255.9	D10Wsu102e	protein_coding	chr10	83196085	83324369	+	7170	538	435	9298	8904	-0.12161684737526487	-0.24349716992166429	other
ENSMUSG00000020256.15	Aldh1l2	protein_coding	chr10	83323314	83370004	-	80	13	6	67	62	0.5288194226836225	-0.8898170822495771	Q4_clip_high_te_down
ENSMUSG00000020257.14	Wdr82	protein_coding	chr9	106048127	106068338	+	2395	1141	726	2744	3383	-0.13263137532915	-0.953458800670637	other
ENSMUSG00000020258.17	Glyctk	protein_coding	chr9	106030056	106035337	-	27	0	0	19	30	0.35732200142255655	-0.632268215499513	other
ENSMUSG00000020260.10	Pofut2	protein_coding	chr10	77095052	77105409	+	370	324	414	422	651	-0.3124531465195714	-0.27154268279265753	other
ENSMUSG00000020261.16	Slc36a1	protein_coding	chr11	55095176	55127156	+	433	243	552	347	735	-0.09820538757294414	0.09977987246353616	other
ENSMUSG00000020262.16	Adarb1	protein_coding	chr10	77126560	77254104	-	68	39	19	92	188	-0.8086344742841766	-2.0230836131130414	Q3_clip_low_te_down
ENSMUSG00000020263.15	Appl2	protein_coding	chr10	83435897	83484602	-	146	159	80	372	501	-1.3510744405468786	-1.4105898256982718	Q3_clip_low_te_down
ENSMUSG00000020264.6	Slc36a2	protein_coding	chr11	55049296	55075903	-	1	3	3	1	4	-0.5849625007211563	-1.3219280948873622	Q3_clip_low_te_down
ENSMUSG00000020265.17	Sumo3	protein_coding	chr10	77441931	77454165	+	1550	268	221	896	988	0.9402614316974423	-0.41790903204636765	Q4_clip_high_te_down
ENSMUSG00000020267.7	Hint1	protein_coding	chr11	54757209	54761327	+	5351	3995	4508	2619	3045	1.1401399355998105	-0.04309820321737733	other
ENSMUSG00000020268.15	Lyrm7	protein_coding	chr11	54717692	54751742	-	13	22	11	31	20	-0.6981731111691472	-0.33091687811461706	Q3_clip_low_te_down
ENSMUSG00000020271.18	Fbxw11	protein_coding	chr11	32592724	32696816	+	1076	660	471	1862	2080	-0.6502488804972559	-0.6455127029395477	Q3_clip_low_te_down
ENSMUSG00000020272.9	Stk10	protein_coding	chr11	32483305	32574587	+	136	155	96	442	557	-1.6468017545390188	-1.0184477999492898	Q3_clip_low_te_down
ENSMUSG00000020273.14	Papolg	protein_coding	chr11	23812646	23845253	-	467	257	145	607	641	-0.19495523862959688	-0.8999046702219544	other
ENSMUSG00000020275.10	Rel	protein_coding	chr11	23686847	23720970	-	135	30	30	49	137	0.7552664109091501	-1.4646682670034443	Q4_clip_high_te_down
ENSMUSG00000020277.11	Pfkl	protein_coding	chr10	77822781	77845917	-	703	1316	668	4271	8081	-2.910866575379665	-1.8969779341109587	Q3_clip_low_te_down
ENSMUSG00000020279.11	Il9r	protein_coding	chr11	32137541	32150279	-	4	3	0	2	9	-0.15611920191728165	-3.736965594166206	other
ENSMUSG00000020280.13	Pus10	protein_coding	chr11	23615674	23682876	+	1049	529	247	1086	1126	0.14612652710838075	-1.1477878142085982	other
ENSMUSG00000020282.19	Rhbdf1	protein_coding	chr11	32159585	32172300	-	116	105	89	134	246	-0.48467168711589614	-1.1076189927673712	other
ENSMUSG00000020283.6	Pex13	protein_coding	chr11	23596479	23615959	-	1593	893	763	754	704	1.3490756815595402	-0.1278488062212837	other
ENSMUSG00000020284.17	Cfap410	protein_coding	chr10	77814358	77822739	+	47	53	64	67	138	-0.8861320354417209	-0.763997920608182	Q3_clip_low_te_down
ENSMUSG00000020286.14	1700093K21Rik	protein_coding	chr11	23466203	23471155	-	0	2	0	4	4	-2.099535673550914	-1.584962500721156	Q3_clip_low_te_down
ENSMUSG00000020287.16	Mpg	protein_coding	chr11	32176505	32182700	+	54	111	87	196	167	-1.5080005189062722	-0.11818890674269086	other
ENSMUSG00000020288.14	Ahsa2	protein_coding	chr11	23437882	23448030	-	595	199	86	355	307	1.0665215104516845	-0.9919658036545	Q4_clip_high_te_down
ENSMUSG00000020289.16	Nprl3	protein_coding	chr11	32175628	32217707	-	86	113	46	241	236	-1.238545928551004	-1.248181174110769	Q3_clip_low_te_down
ENSMUSG00000020290.15	Xpo1	protein_coding	chr11	23206041	23248249	+	20373	6564	2861	8922	8321	1.4629435430251707	-1.0971727875295962	Q4_clip_high_te_down
ENSMUSG00000020297.11	Nsg2	protein_coding	chr11	31950463	32009202	+	56	10	5	32	32	1.0108883161427362	-0.8744691179161409	Q4_clip_high_te_down
ENSMUSG00000020300.15	Cpeb4	protein_coding	chr11	31822211	31885634	+	768	43	26	278	434	1.3294519452691747	-1.345294395380732	Q4_clip_high_te_down
ENSMUSG00000020303.3	Stc2	protein_coding	chr11	31307307	31320074	-	1424	429	681	548	562	1.580197552552407	0.6291063063596812	Q1_clip_high_te_up
ENSMUSG00000020305.14	Asb3	protein_coding	chr11	30835416	31052704	+	127	93	39	196	218	-0.47804729680464403	-1.3853959969350722	other
ENSMUSG00000020307.16	Cdc34	protein_coding	chr10	79518029	79524232	+	864	726	575	1196	1719	-0.5313209270376426	-0.8588719651232403	Q3_clip_low_te_down
ENSMUSG00000020308.8	Tpgs1	protein_coding	chr10	79505203	79511961	+	48	292	397	243	444	-2.591257907252635	-0.4250564221694728	Q3_clip_low_te_down
ENSMUSG00000020309.7	Chac2	protein_coding	chr11	30926707	30936350	-	70	75	39	68	60	0.3497717278126754	-0.7482122993409406	other
ENSMUSG00000020310.10	Madcam1	protein_coding	chr10	79500393	79504371	+	36	28	25	19	27	0.8468832862442417	-0.6429681041567217	Q4_clip_high_te_down
ENSMUSG00000020311.18	Erlec1	protein_coding	chr11	30880774	30904335	-	736	263	343	220	181	2.0932772019035504	0.6619785545363798	Q1_clip_high_te_up
ENSMUSG00000020312.13	Shc2	protein_coding	chr10	79453885	79473752	-	21	22	26	83	119	-1.9906013019977502	-0.2832476267233027	other
ENSMUSG00000020315.19	Sptbn1	protein_coding	chr11	30049395	30218175	-	22475	867	964	6127	10177	1.685374806621472	-0.579131994341278	Q4_clip_high_te_down
ENSMUSG00000020319.10	Wdpcp	protein_coding	chr11	21522235	21848989	+	19	12	5	28	13	0.11805576152171253	-0.06485114434996807	other
ENSMUSG00000020321.17	Mdh1	protein_coding	chr11	21506692	21522367	-	1031	2613	1452	2728	4108	-1.5057390306736924	-1.4376393740561078	Q3_clip_low_te_down
ENSMUSG00000020325.11	Fstl3	protein_coding	chr10	79613106	79618464	+	0	19	15	5	0	-1.5849625007211563	2.263034405833794	Q2_clip_low_te_up
ENSMUSG00000020326.8	Ccng1	protein_coding	chr11	40639379	40646138	-	3936	652	599	2108	2608	0.9613137152560265	-0.42905834007431043	Q4_clip_high_te_down
ENSMUSG00000020328.11	Nudcd2	protein_coding	chr11	40624494	40630873	+	6798	1479	1074	1723	2016	2.0842910251736555	-0.6877118255633528	Q4_clip_high_te_down
ENSMUSG00000020329.13	Polrmt	protein_coding	chr10	79571957	79582415	-	494	726	628	575	852	-0.30711306479239653	-0.775372276916283	other
ENSMUSG00000020330.17	Hmmr	protein_coding	chr11	40592222	40624249	-	4015	557	295	2851	2727	0.74788656857067	-0.8505376087805221	Q4_clip_high_te_down
ENSMUSG00000020331.10	Hcn2	protein_coding	chr10	79552468	79571942	+	128	40	42	90	144	0.35097662739786073	-0.603401699732224	other
ENSMUSG00000020333.18	Acsl6	protein_coding	chr11	54194624	54255582	+	112	68	74	85	179	-0.012711051749553845	-0.9452941079098647	other
ENSMUSG00000020335.14	Zfp354b	protein_coding	chr11	50812650	50822460	-	2	10	8	23	12	-2.4020984435713455	0.5950161653850791	Q2_clip_low_te_up
ENSMUSG00000020340.17	Cyfip2	protein_coding	chr11	46084677	46203686	-	413	137	81	440	709	-0.25279273929645724	-1.4380128209946093	other
ENSMUSG00000020346.17	Mgat1	protein_coding	chr11	49135018	49153857	+	410	215	322	197	358	0.7838534876780993	-0.2779805612129853	other
ENSMUSG00000020349.5	Ppp2ca	protein_coding	chr11	51989508	52018605	+	4496	2977	1552	3953	4165	0.3698755779329252	-1.0146358925062375	other
ENSMUSG00000020354.16	Sgcd	protein_coding	chr11	46787080	47879796	-	24	5	3	8	5	1.9593580155026542	0.0	other
ENSMUSG00000020357.4	Flt4	protein_coding	chr11	49500090	49543566	+	155	146	258	84	145	0.6560455987826389	0.036702320107873825	other
ENSMUSG00000020358.18	Hnrnpab	protein_coding	chr11	51490927	51497674	-	7640	15090	8015	10931	11851	-0.35379526463459887	-1.0293071615223854	other
ENSMUSG00000020359.14	Phykpl	protein_coding	chr11	51475584	51495316	+	187	56	24	347	402	-0.7756878245001861	-1.4007263570692559	Q3_clip_low_te_down
ENSMUSG00000020361.14	Hspa4	protein_coding	chr11	53150641	53191284	-	16233	11278	3525	19648	20273	-0.07580919560487202	-1.722709649114676	other
ENSMUSG00000020362.14	Cnot6	protein_coding	chr11	49562330	49603550	-	3654	163	120	1647	1765	1.3208007691485097	-0.5384578678087366	Q4_clip_high_te_down
ENSMUSG00000020363.7	Gfpt2	protein_coding	chr11	49685005	49729440	+	1979	1350	387	2600	3579	-0.4199474134026501	-2.2607923053471843	other
ENSMUSG00000020364.15	Zfp354a	protein_coding	chr11	50950084	50963626	+	57	32	29	57	93	-0.16755409697956528	-0.8341113803000002	other
ENSMUSG00000020366.19	Mapk9	protein_coding	chr11	49737578	49777248	+	1016	244	154	895	1086	0.2590274229651003	-0.9392948366980381	other
ENSMUSG00000020368.16	Canx	protein_coding	chr11	50184788	50216500	-	58772	28201	30742	8986	9941	2.856947765317882	-0.021236024270810287	other
ENSMUSG00000020372.16	Rack1	protein_coding	chr11	48691159	48697261	+	13452	31174	20822	40961	60831	-1.697260273701461	-1.152755904650559	Q3_clip_low_te_down
ENSMUSG00000020374.17	Rasgef1c	protein_coding	chr11	49792662	49871821	+	12	1	4	0	5	2.115477217419936	-1.2630344058337937	Q4_clip_high_te_down
ENSMUSG00000020375.10	Rufy1	protein_coding	chr11	50280113	50321952	-	146	216	138	180	310	-0.5204497391664276	-1.423535042768369	Q3_clip_low_te_down
ENSMUSG00000020376.18	Rnf130	protein_coding	chr11	49916173	50016546	+	412	213	197	196	182	1.3425347844249453	-0.005758385149203254	other
ENSMUSG00000020377.16	Ltc4s	protein_coding	chr11	50127288	50129443	-	4	4	10	6	19	-1.2105669859396584	-0.3770696490798233	Q3_clip_low_te_down
ENSMUSG00000020380.17	Rad50	protein_coding	chr11	53540346	53598146	-	2231	502	222	2187	1711	0.4172553245286625	-0.8195846534938125	other
ENSMUSG00000020381.11	Mrnip	protein_coding	chr11	50065271	50090942	+	77	125	106	144	168	-0.7868261086929308	-0.45678328336601937	Q3_clip_low_te_down
ENSMUSG00000020385.17	Clk4	protein_coding	chr11	51152557	51172593	+	259	170	105	663	650	-1.1160868498147622	-0.6614063621414094	Q3_clip_low_te_down
ENSMUSG00000020386.6	Sar1b	protein_coding	chr11	51654514	51682752	+	723	835	703	457	424	0.9359686807711873	-0.14004275637170563	other
ENSMUSG00000020387.16	Jade2	protein_coding	chr11	51704282	51748480	-	291	94	83	529	975	-1.144289074455463	-1.0584269736645122	Q3_clip_low_te_down
ENSMUSG00000020388.13	Pdlim4	protein_coding	chr11	53945754	53959840	-	2	117	120	57	160	-4.967432137543569	-1.4367156950742914	Q3_clip_low_te_down
ENSMUSG00000020389.20	Cdkl3	protein_coding	chr11	51895048	51980611	+	100	26	14	73	75	0.6517852135923617	-0.8864710543695856	Q4_clip_high_te_down
ENSMUSG00000020390.13	Ube2b	protein_coding	chr11	51876324	51891589	-	477	559	438	768	999	-0.665459103373262	-0.7301503841098687	Q3_clip_low_te_down
ENSMUSG00000020392.9	Cdkn2aipnl	protein_coding	chr11	51858488	51868161	+	1481	714	498	1757	1729	-0.012462171134644541	-0.49574039370917417	other
ENSMUSG00000020393.17	Kremen1	protein_coding	chr11	5141552	5211558	-	458	87	150	382	662	0.03407562850331452	-0.012691357499849043	other
ENSMUSG00000020396.9	Nefh	protein_coding	chr11	4888754	4898064	-	151	262	88	296	289	-0.7268967583300187	-1.5287755275400732	Q3_clip_low_te_down
ENSMUSG00000020397.16	Med7	protein_coding	chr11	46327752	46333548	+	555	753	522	401	366	0.7544937060981289	-0.3963381386860069	Q4_clip_high_te_down
ENSMUSG00000020400.18	Tnip1	protein_coding	chr11	54801611	54853743	-	444	895	768	1144	2287	-1.7252001947670483	-1.2192545878898609	Q3_clip_low_te_down
ENSMUSG00000020402.12	Vdac1	protein_coding	chr11	52251687	52280224	+	5793	5152	3338	7734	11898	-0.5383301093925417	-1.2473636358646099	Q3_clip_low_te_down
ENSMUSG00000020407.14	Upp1	protein_coding	chr11	9068103	9086170	+	895	4046	4589	4236	10649	-2.832018090197161	-1.1480970920049263	Q3_clip_low_te_down
ENSMUSG00000020409.11	Slu7	protein_coding	chr11	43324571	43338808	+	1090	503	212	1155	1297	0.052908273997150236	-1.409719288772538	other
ENSMUSG00000020411.3	Nipal4	protein_coding	chr11	46038982	46057335	-	19	9	9	4	10	1.5443205162238105	-1.137503523749935	Q4_clip_high_te_down
ENSMUSG00000020412.17	Ascc2	protein_coding	chr11	4587747	4635699	+	400	221	83	703	917	-0.7937072564259047	-1.7850171683478566	Q3_clip_low_te_down
ENSMUSG00000020413.12	Hus1	protein_coding	chr11	8943137	8961191	-	1120	210	115	1131	1196	0.16746805993100863	-0.9436673876912327	other
ENSMUSG00000020415.17	Pttg1	protein_coding	chr11	43311077	43317078	-	192	951	560	720	721	-1.6800061258866699	-0.7649603803454992	Q3_clip_low_te_down
ENSMUSG00000020419.12	Hormad2	protein_coding	chr11	4295814	4391105	-	127	73	46	171	147	-0.09953567355091422	-0.43805312487816445	other
ENSMUSG00000020420.9	Zfp607a	protein_coding	chr7	27556952	27580250	+	188	42	29	164	166	0.4095954142105959	-0.536756237321816	other
ENSMUSG00000020422.15	Tns3	protein_coding	chr11	8381652	8614681	-	3397	2224	1558	3388	5814	-0.21518270970342093	-1.2921039629199242	other
ENSMUSG00000020423.7	Btg2	protein_coding	chr1	134002908	134006858	-	127	190	284	220	402	-1.0630097975258004	-0.28934418812018053	other
ENSMUSG00000020424.4	Castor1	protein_coding	chr11	4168225	4172409	+	147	391	372	318	488	-1.226365695786397	-0.6879560650473346	Q3_clip_low_te_down
ENSMUSG00000020427.12	Igfbp3	protein_coding	chr11	7156086	7163923	-	215	191	299	67	102	1.5594274086140185	0.04481850384184555	other
ENSMUSG00000020430.13	Pes1	protein_coding	chr11	3913975	3930004	+	1635	1843	677	4423	5496	-1.3779203766340742	-1.7567745710960485	Q3_clip_low_te_down
ENSMUSG00000020431.6	Adcy1	protein_coding	chr11	7013489	7128506	+	426	18	27	382	386	0.3717700453746746	0.5444382343945654	other
ENSMUSG00000020432.13	Tcn2	protein_coding	chr11	3867192	3882159	-	870	1236	1853	466	1013	0.4565654046464647	-0.5347674536445175	other
ENSMUSG00000020434.5	4921536K21Rik	protein_coding	chr11	3836088	3845098	-	29	28	15	29	35	0.08488889758651294	-1.121015400961366	other
ENSMUSG00000020435.18	Osbp2	protein_coding	chr11	3653731	3813903	-	17	7	7	16	24	0.0	-0.5563933485243852	other
ENSMUSG00000020437.13	Myo1g	protein_coding	chr11	6456548	6470965	-	34	31	9	64	75	-0.787875914117379	-1.9036316055277687	Q3_clip_low_te_down
ENSMUSG00000020439.18	Smtn	protein_coding	chr11	3467523	3490612	-	482	508	249	793	1227	-0.8432954817307934	-1.65483720964083	Q3_clip_low_te_down
ENSMUSG00000020440.14	Arf5	protein_coding	chr6	28423559	28426601	+	607	1015	1150	614	868	-0.06495544184076985	-0.31878233522773347	other
ENSMUSG00000020441.7	2310033P09Rik	protein_coding	chr11	59099147	59101564	+	40	112	89	213	306	-2.4451951363239766	-0.8489537250545452	Q3_clip_low_te_down
ENSMUSG00000020444.20	Guk1	protein_coding	chr11	59074701	59083038	-	3163	1183	825	1180	1495	1.463524882168462	-0.8605566046999839	Q4_clip_high_te_down
ENSMUSG00000020447.6	Npc1l1	protein_coding	chr11	6161013	6180143	-	0	1	7	2	2	-1.3625700793847082	2.0	Q2_clip_low_te_up
ENSMUSG00000020448.17	Rnf185	protein_coding	chr11	3365982	3402363	-	1213	650	381	1085	1228	0.2911486494445312	-0.9475457176981869	other
ENSMUSG00000020451.18	Limk2	protein_coding	chr11	3294256	3359189	-	1413	743	687	2547	4391	-1.0727611213197763	-0.8984068331548319	Q3_clip_low_te_down
ENSMUSG00000020453.18	Patz1	protein_coding	chr11	3238874	3259083	+	1068	914	569	1608	2393	-0.6824273413305999	-1.2560686503393566	Q3_clip_low_te_down
ENSMUSG00000020454.18	Eif4enif1	protein_coding	chr11	3152392	3194588	+	2050	1013	572	2657	3404	-0.34131190928459154	-1.1807643018696945	other
ENSMUSG00000020455.17	Trim11	protein_coding	chr11	58868919	58882284	+	211	129	95	405	617	-1.049687124100353	-1.0435324230264966	Q3_clip_low_te_down
ENSMUSG00000020456.18	Ogdh	protein_coding	chr11	6241633	6306642	+	1809	3244	1761	2954	3465	-0.6044158800567196	-1.111118078061362	Q3_clip_low_te_down
ENSMUSG00000020457.14	Drg1	protein_coding	chr11	3137360	3216415	-	3783	2117	1108	2782	2796	0.6620393879592933	-0.9406825689752106	Q4_clip_high_te_down
ENSMUSG00000020458.17	Rtn4	protein_coding	chr11	29642947	29694331	+	20776	19290	20472	5937	6102	2.0094245669651323	0.046253094065823445	other
ENSMUSG00000020459.15	Mtif2	protein_coding	chr11	29476408	29495279	+	812	399	243	760	744	0.3329979087395475	-0.6824628240578169	other
ENSMUSG00000020460.16	Rps27a	protein_coding	chr11	29495846	29498109	-	950	9904	9231	2726	3990	-1.598122128037487	-0.6509493297273744	Q3_clip_low_te_down
ENSMUSG00000020461.11	Clhc1	protein_coding	chr11	29497950	29528367	+	19	0	2	9	8	1.2963930027802248	1.736965594166206	Q1_clip_high_te_up
ENSMUSG00000020462.15	Cfap36	protein_coding	chr11	29171532	29197409	-	766	275	194	482	534	0.8139533427636862	-0.6487098454812945	Q4_clip_high_te_down
ENSMUSG00000020463.16	Ppp4r3b	protein_coding	chr11	29122890	29170797	+	2368	390	187	1382	1223	1.0842800370411227	-0.8802383471718723	Q4_clip_high_te_down
ENSMUSG00000020464.16	Pnpt1	protein_coding	chr11	29080744	29111828	+	2998	2593	1978	1751	1854	0.9560745204176181	-0.4728232791111798	Q4_clip_high_te_down
ENSMUSG00000020467.16	Efemp1	protein_coding	chr11	28803204	28876743	+	36	26	31	4	3	3.261920785523085	0.5670405927238937	Q1_clip_high_te_up
ENSMUSG00000020469.9	Myl7	protein_coding	chr11	5846637	5848782	-	18	132	178	93	181	-2.6382045219981354	-0.5246724467579923	Q3_clip_low_te_down
ENSMUSG00000020471.12	Pold2	protein_coding	chr11	5822180	5828292	-	436	1039	543	1492	2374	-1.9234901886397946	-1.6046183197492463	Q3_clip_low_te_down
ENSMUSG00000020472.15	Zkscan17	protein_coding	chr11	59376346	59417577	-	294	187	90	859	1161	-1.554603716317363	-1.4809957152940099	Q3_clip_low_te_down
ENSMUSG00000020473.14	Aebp1	protein_coding	chr11	5811947	5822088	+	209	75	108	80	311	0.31825243674396425	-1.4252954046442827	other
ENSMUSG00000020474.12	Polm	protein_coding	chr11	5777860	5788016	-	23	72	67	207	563	-3.785102115210476	-1.5414733518873793	Q3_clip_low_te_down
ENSMUSG00000020475.4	Pgam2	protein_coding	chr11	5751640	5753733	-	8	34	53	47	61	-2.3890422907458992	0.25637067555278314	other
ENSMUSG00000020476.15	Dbnl	protein_coding	chr11	5738488	5750962	+	433	1131	603	1306	1918	-1.6715870693747155	-1.4603490739067504	Q3_clip_low_te_down
ENSMUSG00000020477.11	Mrps24	protein_coding	chr11	5653983	5665680	-	481	1018	1009	745	1000	-0.6353821353503502	-0.4369931971074124	Q3_clip_low_te_down
ENSMUSG00000020481.16	Ankrd36	protein_coding	chr11	5519684	5639337	+	6	5	5	7	12	-0.36257007938470825	-0.7004397181410921	other
ENSMUSG00000020482.5	Ccdc117	protein_coding	chr11	5478887	5492187	-	778	1099	709	1740	2267	-1.1411547627526535	-1.013117031311105	Q3_clip_low_te_down
ENSMUSG00000020483.15	Dynll2	protein_coding	chr11	87870351	87878359	-	2378	894	866	2330	2981	0.06322098028851218	-0.40118694208435984	other
ENSMUSG00000020484.20	Xbp1	protein_coding	chr11	5470659	5475893	+	2582	1684	1700	1414	2469	0.6335254661593758	-0.7900744391586312	Q4_clip_high_te_down
ENSMUSG00000020485.15	Supt4a	protein_coding	chr11	87628378	87634449	+	436	864	668	741	916	-0.7022162801188168	-0.676196468856877	Q3_clip_low_te_down
ENSMUSG00000020486.20	Septin4	protein_coding	chr11	87457479	87481365	+	8	4	4	10	16	-0.4150374992788436	-0.6280312226130421	other
ENSMUSG00000020491.16	2810021J22Rik	protein_coding	chr11	58758042	58774114	+	230	54	37	186	223	0.39114687907082263	-0.7938926622510414	other
ENSMUSG00000020492.12	Ska2	protein_coding	chr11	87000060	87015461	+	296	204	165	437	593	-0.5745157132860402	-0.7439727293581136	Q3_clip_low_te_down
ENSMUSG00000020493.9	Prr11	protein_coding	chr11	86979979	86999534	-	921	202	178	551	592	0.9098834787814797	-0.2848839776887546	other
ENSMUSG00000020495.14	Smg8	protein_coding	chr11	86968558	86977600	-	408	662	568	661	987	-0.7899008548549815	-0.7982600425834657	Q3_clip_low_te_down
ENSMUSG00000020496.11	Rnf187	protein_coding	chr11	58823114	58829742	-	1533	1036	626	2021	2280	-0.2656519361089285	-0.8997619954203092	other
ENSMUSG00000020513.16	Tubd1	protein_coding	chr11	86435817	86458186	+	82	82	47	74	140	-0.15745564948009588	-1.7008095925286815	other
ENSMUSG00000020514.9	Mrpl22	protein_coding	chr11	58062487	58070391	+	207	803	475	538	590	-1.21927491782501	-0.8891067852960122	Q3_clip_low_te_down
ENSMUSG00000020515.14	Cnot8	protein_coding	chr11	57994979	58009420	+	1028	567	348	1730	1897	-0.5959366532489178	-0.8355381609495007	Q3_clip_low_te_down
ENSMUSG00000020516.16	Rps6kb1	protein_coding	chr11	86389697	86435631	-	2492	285	200	1255	1382	1.1402839535016804	-0.647784337858328	Q4_clip_high_te_down
ENSMUSG00000020519.6	Sap30l	protein_coding	chr11	57692463	57701043	+	118	120	132	433	746	-2.0885830647527657	-0.6469940021181628	Q3_clip_low_te_down
ENSMUSG00000020520.15	Galnt10	protein_coding	chr11	57536268	57678340	+	380	203	223	308	505	0.12538335971133024	-0.5766009667038271	other
ENSMUSG00000020521.8	Rnft1	protein_coding	chr11	86375483	86389851	+	1025	443	439	344	535	1.4422092280230885	-0.6486927916176872	Q4_clip_high_te_down
ENSMUSG00000020522.14	Mfap3	protein_coding	chr11	57409490	57424641	+	2211	591	778	613	821	1.8456880577481038	-0.02487358587878407	other
ENSMUSG00000020523.15	Fam114a2	protein_coding	chr11	57373819	57409443	-	1444	799	616	986	1159	0.6511397228657159	-0.6077323261838435	Q4_clip_high_te_down
ENSMUSG00000020525.18	Ppm1d	protein_coding	chr11	85202070	85237892	+	404	188	95	535	505	-0.1409690431700731	-0.8941843077364543	other
ENSMUSG00000020526.13	Znhit3	protein_coding	chr11	84801776	84807192	-	297	708	509	453	462	-0.3992169817964449	-0.5036082763499795	other
ENSMUSG00000020527.15	Myo19	protein_coding	chr11	84770974	84802052	+	99	171	83	535	543	-2.2105669859396584	-1.0553209827159045	Q3_clip_low_te_down
ENSMUSG00000020528.15	Prpsap2	protein_coding	chr11	61620476	61652914	-	330	455	227	785	979	-1.1931897995048002	-1.318252436743964	Q3_clip_low_te_down
ENSMUSG00000020530.15	Ggnbp2	protein_coding	chr11	84723187	84761643	-	1441	436	164	1268	1265	0.40847783868656756	-1.4017525908420179	other
ENSMUSG00000020532.19	Acaca	protein_coding	chr11	84020498	84292477	+	1379	445	117	1260	1225	0.3726541807850729	-1.8776475539210251	other
ENSMUSG00000020534.15	Shmt1	protein_coding	chr11	60678930	60702544	-	1825	2468	791	4454	4913	-1.1368158834210593	-1.7818269270160527	Q3_clip_low_te_down
ENSMUSG00000020536.13	Llgl1	protein_coding	chr11	60590549	60605012	+	497	697	323	1730	2737	-1.9433419759904813	-1.7687499452162885	Q3_clip_low_te_down
